Ano;N1;N2;Dest_N1;Dest_N2;Destino 2;Diferenca_altura;Diferenca_altitude;Diferenca_altura_total;Diferenca_espessura;Mudou_amb;Distancia;Territorio;Ambiente_N1;Ambiente_N2;Numero_renest;Mudou Amb;Local;Tem capim;Femea;Macho;Casal;Expfemea;Expmacho;Idade_femea;Idade_macho
2006;22;31;Predado;Predado;0;-0.1;NA;NA;NA;0;15.08;Rosaldo;samambaia;samambaia;2;0;Jundia;0;1;38A;3;NA;super;1.5;10.5
2006;31;38;Predado;Alagado;0;-0.87;NA;NA;-3.55;1;58.83;Rosaldo;samambaia;cebolama;3;1;Jundia;0;1;38A;3;NA;super;1.5;10.5
2006;2;5;Predado;Alagado;0;-0.08;NA;NA;0;0;16.97;Maezinha;cebolama;cebolama;1;0;Jundia;0;11A;8A;5;NA;NA;2.5;2.5
2006;21;29;Predado;Predado;0;0.04;NA;NA;14.05;0;12.67;Maezinha;samambaia;samambaia;3;0;Jundia;0;11A;8A;5;NA;NA;2.5;2.5
2006;10;13;Predado;Predado;0;-0.84;NA;NA;NA;0;25.59;K;samambaia;samambaia;1;0;Jundia;0;18;10;9;NA;NA;1.5;1.5
2006;13;33;Predado;Predado;0;-0.15;NA;NA;-2;0;13.4;K;samambaia;samambaia;2;0;Jundia;0;18;10;9;NA;NA;1.5;1.5
2006;1;11;Predado;Predado;0;0.17;NA;NA;2;0;4;Capim-serra;capim-serra;capim-serra;1;0;Jundia;1;21;9;14;NA;NA;1.5;1.5
2006;11;30;Predado;Predado;0;0;NA;NA;-6.9;0;15.34;Capim-serra;capim-serra;capim-serra;2;0;Jundia;1;21;9;14;NA;NA;1.5;1.5
2006;30;36;Predado;Predado;0;NA;NA;NA;-20;0;17.39;Capim-serra;capim-serra;capim-serra;3;0;Jundia;1;21;9;14;NA;NA;1.5;1.5
2007;93;99;Predado;Predado;0;0.36;NA;NA;2;1;43.04;Rosinha;cebolama;samambaia;4;1;Jundia;1;53;46;1;NA;NA;2.5;2.5
2007;99;103;Predado;Tombado;0;-0.11;NA;NA;-21;0;50.22;Rosinha;samambaia;samambaia;5;0;Jundia;1;53;46;1;NA;NA;2.5;2.5
2007;97;102;Predado;Predado;0;0.19;NA;NA;-15;0;16.89;Magenta;samambaia;samambaia;3;0;Jundia;0;51;47;2;super;NA;10.5;2.5
2007;41;59;Predado;Predado;0;-0.71;NA;NA;-6;0;10.54;Rosaldo;samambaia;samambaia;1;0;Jundia;0;NA;38A;4;NA;super;NA;11.5
2007;59;72;Predado;Tombado;0;0.39;NA;NA;2;0;12.73;Rosaldo;samambaia;samambaia;2;0;Jundia;0;NA;38A;4;NA;super;NA;11.5
2007;80;88;Predado;Sucesso;1;-0.13;NA;NA;8;1;53.92;Rosaldo;samambaia;cebolama;4;1;Jundia;0;NA;38A;4;NA;super;NA;11.5
2007;66;82;Predado;Sucesso;1;-0.14;NA;NA;NA;0;72.17;Velho;samambaia;samambaia;3;0;Jundia;1;49;45;6;NA;NA;2.5;2.5
2007;73;79;Predado;Tombado;0;1.06;NA;NA;NA;0;25.91;Capim-serra;capim-serra;capim-serra;1;0;Jundia;1;21;9;14;NA;NA;2.5;2.5
2007;87;95;Predado;Predado;0;0.18;NA;NA;17;0;29.22;Capim-serra;capim-serra;capim-serra;3;0;Jundia;1;21;9;14;NA;NA;2.5;2.5
2007;96;101;Predado;Sucesso;1;0.02;NA;NA;-9.15;0;31.33;Ponta L;capim-serra;capim-serra;2;0;Jundia;1;42;5;15;NA;NA;2.5;2.5
2008;128;sn;Predado;Alagado;0;NA;NA;NA;NA;NA;NA;Velho;cebolama;NA;1;NA;Jundia;1;49;38A;19;NA;super;3.5;12.5
2008;124;133;Predado;Tombado;0;NA;-0.215;NA;NA;0;103.82;Magenta;cebolama;cebolama;2;0;Jundia;0;51;47;2;super;NA;11.5;3.5
2008;122;123;Predado;Predado;0;0.25;NA;NA;0;0;10.3;Capim-serra;capim-serra;capim-serra;1;0;Jundia;1;21;9;14;NA;NA;3.5;3.5
