Ano;N1;N2;Dest_N1;Dest_N2;Destino2;Diferenca_altura;Diferenca_altitude;Diferenca_altura_total;Diferenca_espessura;Mudou_amb;Distancia;Territorio;Ambiente_N1;Ambiente_N2;Numero_renest;Mudou Amb;Local;Tem capim;Femea;Macho;Casal;Expfemea;Expmacho;Idade_femea;Idade_macho
2006;12;26;Tombado;Sucesso;1;-0.16;NA;NA;-8;0;21.89;Rosinha;samambaia;samambaia;2;0;Jundia;1;53;46;1;NA;NA;1.5;1.5
2007;103;109;Tombado;Alagado;0;-0.71;NA;NA;3;1;38.04;Rosinha;samambaia;cebolama;6;1;Jundia;1;53;46;1;NA;NA;2.5;2.5
2007;63;64;Tombado;Sucesso;1;-0.6;NA;NA;0;0;25.44;Magenta;samambaia;samambaia;1;0;Jundia;0;51;47;2;super;NA;10.5;2.5
2007;72;80;Tombado;Predado;0;-0.53;NA;NA;-18.05;0;24.9;Rosaldo;samambaia;samambaia;3;0;Jundia;0;NA;38A;4;NA;super;NA;11.5
2007;48;66;Tombado;Predado;0;-0.1;NA;NA;-13;0;57.54;Velho;samambaia;samambaia;2;0;Jundia;1;49;45;6;NA;NA;2.5;2.5
2007;79;87;Tombado;Predado;0;-0.34;NA;NA;-2.2;0;NA;Capim-serra;capim-serra;capim-serra;2;0;Jundia;1;21;9;14;NA;NA;2.5;2.5
2007;69;78;Tombado;Sucesso;1;0.1;NA;NA;NA;0;21.86;Viuva;capim-serra;capim-serra;1;0;Jundia;1;17;12;16;inexp;NA;1.5;2.5
2008;116;125;Tombado;Tombado;0;-1.03;NA;NA;NA;1;41.16;Rosinha;samambaia;cebolama;1;1;Jundia;1;53;46;1;NA;NA;3.5;3.5
2008;125;132;Tombado;Tombado;0;-0.1;NA;NA;NA;0;NA;Rosinha;cebolama;cebolama;2;0;Jundia;1;53;46;1;NA;NA;3.5;3.5
2008;115;124;Tombado;Predado;0;NA;0.028;NA;NA;1;11.21;Magenta;samambaia;cebolama;1;1;Jundia;0;51;47;2;super;NA;11.5;3.5
2009;153;162;Tombado;Predado;0;-0.35;0.089;-0.26;NA;1;98.87;Rosinha;samambaia;cebolama;2;1;Jundia;1;53;46;1;super;super;4.5;4.5
2009;144;146;Tombado;Predado;0;0.25;-0.143;0.11;NA;0;5.72;Velho;samambaia;samambaia;1;0;Jundia;1;49;38A;19;super;super;4.5;13.5
2009;136;150;Tombado;Sucesso;1;0.2;0.042;0.24;-2.5;0;50.2;Azulzinho;capim-serra;capim-serra;1;0;Jundia;1;16;44;7;super;exp;4.5;4
2009;28C;35C;Tombado;Tombado;0;-0.4;0;-0.4;NA;0;6.91;Asinha;capim-serra;capim-serra;3;0;Conti ;1;94;171;10C;NA;NA;3;1
2022;460;468;Tombado;Predado;0;0.28;0.011;0.29;NA;0;33.95;Capim-serra;capim-serra;capim-serra;2;0;Jundia;1;371;372;94;super;super;4.5;4.5
