Ano;N1;N2;Dest_N1;Dest_N2;Diferenca_altura;Diferenca_altitude;Diferenca_altura_total;Diferenca_espessura;Mudou_amb;Distancia;Territorio;Ambiente_N1;Ambiente_N2;Numero_renest;Mudou Amb;Local;Tem capim;Femea;Macho;Casal;Expfemea;Expmacho;Idade_femea;Idade_macho
2006;12;26;Tombado;Sucesso;-0.16;NA;NA;-8;0;21.89;Rosinha;samambaia;samambaia;2;0;Jundia;1;53;46;1;NA;NA;1.5;1.5
2006;7;32;Sucesso;Alagado;-0.57;NA;NA;NA;1;32.15;Herbacinho;samambaia;cebolama;1;1;Jundia;1;25;4;12;NA;inexp;1.5;1
2007;103;109;Tombado;Alagado;-0.71;NA;NA;3;1;38.04;Rosinha;samambaia;cebolama;6;1;Jundia;1;53;46;1;NA;NA;2.5;2.5
2007;63;64;Tombado;Sucesso;-0.6;NA;NA;0;0;25.44;Magenta;samambaia;samambaia;1;0;Jundia;0;51;47;2;super;NA;10.5;2.5
2007;64;97;Sucesso;Predado;-0.05;NA;NA;3;0;25.87;Magenta;samambaia;samambaia;2;0;Jundia;0;51;47;2;super;NA;10.5;2.5
2007;72;80;Tombado;Predado;-0.53;NA;NA;-18.05;0;24.9;Rosaldo;samambaia;samambaia;3;0;Jundia;0;NA;38A;4;NA;super;NA;11.5
2007;88;105;Sucesso;Alagado;-0.18;NA;NA;11;0;9.05;Rosaldo;cebolama;cebolama;5;0;Jundia;0;NA;38A;4;NA;super;NA;11.5
2007;58;92;Sucesso;Predado;0.26;NA;NA;NA;0;21.4;Maezinha;samambaia;samambaia;1;0;Jundia;0;11A;8A;5;super;NA;3.5;3.5
2007;48;66;Tombado;Predado;-0.1;NA;NA;-13;0;57.54;Velho;samambaia;samambaia;2;0;Jundia;1;49;45;6;NA;NA;2.5;2.5
2007;44;91;Sucesso;Sucesso;-0.2;NA;NA;11.05;1;21.41;Riozinho;capim-serra;samambaia;1;1;Jundia;1;31;43;11;NA;NA;2.5;2.5
2007;79;87;Tombado;Predado;-0.34;NA;NA;-2.2;0;NA;Capim-serra;capim-serra;capim-serra;2;0;Jundia;1;21;9;14;NA;NA;2.5;2.5
