Ano;Ninho;Altura;Altitude;Altura total;Espessura;Ambiente;Destino;Territorio;Local;Tipo;Femea;Macho;Casal;Idade_femea;Idade_macho;Expfemea;Expmacho;Esp
2006;1;0.88;NA;NA;47.5;Capim-serra;Predado;Capim-serra;Jundia;ovo;21;9;14;1.5;1.5;NA;NA;47.5
2006;2;0.75;NA;NA;33.15;Cebolama;Predado;Maezinha;Jundia;cesto;11A;8A;5;2.5;2.5;NA;NA;33.15
2006;4;0.74;NA;NA;33.15;Cebolama;Alagado;Rosaldo;Jundia;ovo;1;38A;3;1.5;10.5;NA;super;33.15
2006;5;0.67;NA;NA;33.15;Cebolama;Alagado;Maezinha;Jundia;ovo;11A;8A;5;2.5;2.5;NA;NA;33.15
2006;7;1.07;NA;NA;28.6;Samambaia;Sucesso;Herbacinho;Jundia;ovo;25;4;12;1.5;1;NA;inexp;28.6
2006;10;2.2;NA;NA;NA;Samambaia;Predado;K;Jundia;cesto;10;18;9;1.5;1.5;NA;NA;NA
2006;11;1.05;NA;NA;49.9;Capim-serra;Predado;Capim-serra;Jundia;ovo;21;9;14;1.5;1.5;NA;NA;49.9
2006;12;1.66;NA;NA;26.75;Samambaia;Tombado;Rosinha;Jundia;ovo;53;46;1;1.5;1.5;NA;NA;26.75
2006;13;1.36;NA;NA;29.3;Samambaia;Predado;K;Jundia;ovo;10;18;9;1.5;1.5;NA;NA;29.3
2006;21;1.49;NA;NA;17.7;Samambaia;Predado;Maezinha;Jundia;ovo;11A;8A;5;2.5;2.5;NA;NA;17.7
2006;22;1.65;NA;NA;NA;Samambaia;Predado;Rosaldo;Jundia;ovo;1;38A;3;1.5;10.5;NA;super;NA
2006;26;1.5;NA;NA;19.1;Samambaia;Sucesso;Rosinha;Jundia;ovo;53;46;1;1.5;1.5;NA;NA;19.1
2006;29;1.53;NA;NA;31.75;Samambaia;Predado;Maezinha;Jundia;ovo;11A;8A;5;2.5;2.5;NA;NA;31.75
2006;30;1.05;NA;NA;43;Capim-serra;Predado;Capim-serra;Jundia;ovo;21;9;14;1.5;1.5;NA;NA;43
2006;31;1.55;NA;NA;27.8;Samambaia;Predado;Rosaldo;Jundia;ovo;1;38A;3;1.5;10.5;NA;super;27.8
2006;32;0.5;NA;NA;NA;Cebolama;Alagado;Herbacinho;Jundia;cesto;25;4;12;1.5;1;NA;inexp;NA
2006;33;1.21;NA;NA;27.65;Samambaia;Predado;K;Jundia;ovo;10;18;9;1.5;1.5;NA;NA;27.65
2006;36;NA;NA;NA;23.45;Capim-serra;Predado;Capim-serra;Jundia;ovo;21;9;14;1.5;1.5;NA;NA;23.45
2006;38;0.68;NA;NA;24.25;Cebolama;Alagado;Rosaldo;Jundia;ovo;1;38A;3;1.5;10.5;NA;super;24.25
2007;41;2;NA;NA;31;Samambaia;Predado;Rosaldo;Jundia;ovo;NA;38A;4;NA;11.5;NA ;super;31
2007;44;1.3;NA;NA;19.25;Capim-serra;Sucesso;Riozinho;Jundia;ovo;31;43;11;2.5;2.5;NA;NA;19.25
2007;48;1.8;NA;NA;34.3;Samambaia;Tombado;Velho;Jundia;ovo;49;45;6;2.5;2.5;NA;NA;34.3
2007;54;1.38;NA;NA;18.9;Capim-serra;Sucesso;Ponta L;Jundia;ovo;42;5;15;2.5;2.5;NA;NA;18.9
2007;58;1.64;NA;NA;27.1;Samambaia;Sucesso;Maezinha;Jundia;ovo;11A;8A;5;3.5;3.5;super;NA;27.1
2007;59;1.29;NA;NA;25.5;Samambaia;Predado;Rosaldo;Jundia;ovo;NA;38A;4;NA;11.5;NA ;super;25.5
2007;61;0.95;NA;NA;15.8;Cebolama;Alagado;K;Jundia;ovo;10;18;9;2.5;2.5;NA;NA;15.8
2007;63;2.15;NA;NA;26.6;Samambaia;Tombado;Magenta;Jundia;cesto;51;47;2;10.5;2.5;super;NA;26.6
2007;64;1.55;NA;NA;26.75;Samambaia;Sucesso;Magenta;Jundia;ovo;51;47;2;10.5;2.5;super;NA;26.75
2007;66;1.7;NA;NA;21.05;Samambaia;Predado;Velho;Jundia;ovo;49;45;6;2.5;2.5;NA;NA;21.05
2007;69;1;NA;NA;NA;Capim-serra;Tombado;Viuva;Jundia;ovo;17;12;16;1.5;2.5;inexp;NA;NA
2007;70;2.15;NA;NA;31.9;Samambaia;Tombado;K;Jundia;ovo;18;10;9;2.5;2.5;NA;NA;31.9
2007;72;1.68;NA;NA;27.45;Samambaia;Tombado;Rosaldo;Jundia;cesto;NA;38A;4;NA;11.5;NA ;super;27.45
2007;73;1.28;NA;NA;NA;Capim-serra;Predado;Capim-serra;Jundia;ovo;21;9;14;2.5;2.5;NA;NA;NA
2007;78;1.1;NA;NA;20.05;Capim-serra;Sucesso;Viuva;Jundia;ovo;17;12;16;1.5;2.5;inexp;NA;20.05
2007;79;1.34;NA;NA;20.25;Capim-serra;Tombado;Capim-serra;Jundia;ovo;21;9;14;2.5;2.5;NA;NA;20.25
2007;80;1.15;NA;NA;9.4;Samambaia;Predado;Rosaldo;Jundia;ovo;NA;38A;4;NA;11.5;NA ;super;9.4
2007;82;1.56;NA;NA;NA;Samambaia;Sucesso;Velho;Jundia;ovo;49;45;6;2.5;2.5;NA;NA;NA
2007;87;1;NA;NA;18.05;Capim-serra;Predado;Capim-serra;Jundia;ovo;21;9;14;2.5;2.5;NA;NA;18.05
2007;88;1.02;NA;NA;17.25;Cebolama;Sucesso;Rosaldo;Jundia;ovo;NA;38A;4;NA;11.5;NA ;super;17.25
2007;91;1.1;NA;NA;30.3;Samambaia;Sucesso;Riozinho;Jundia;ovo;31;43;11;2.5;2.5;NA;NA;30.3
2007;92;1.9;NA;NA;NA;Samambaia;Predado;Maezinha;Jundia;ovo;11A;8A;5;3.5;3.5;super;NA;NA
2007;93;1.24;NA;NA;27.6;Cebolama;Predado;Rosinha;Jundia;ovo;53;46;1;2.5;2.5;NA;NA;27.6
2007;94;1.2;NA;NA;12.7;Capim-serra;Predado;Viuva;Jundia;cesto;17;12;16;1.5;2.5;inexp;NA;12.7
2007;95;1.18;NA;NA;34.65;Capim-serra;Predado;Capim-serra;Jundia;ovo;21;9;14;2.5;2.5;NA;NA;34.65
2007;96;1.18;NA;NA;19;Capim-serra;Predado;Ponta L;Jundia;ovo;42;5;15;2.5;2.5;NA;NA;19
2007;97;1.5;2.81;4,311;29.5;Samambaia;Predado;Magenta;Jundia;ovo;51;47;2;10.5;2.5;super;NA;29.5
2007;99;1.6;NA;NA;29.2;Samambaia;Predado;Rosinha;Jundia;ovo;53;46;1;2.5;2.5;NA;NA;29.2
2007;101;1.2;NA;NA;9.85;Capim-serra;Sucesso;Ponta L;Jundia;ovo;42;5;15;2.5;2.5;NA;NA;9.85
2007;102;1.69;NA;NA;15;Samambaia;Predado;Magenta;Jundia;ovo;51;47;2;10.5;2.5;super;NA;15
2007;103;1.49;NA;NA;8.5;Samambaia;Tombado;Rosinha;Jundia;ovo;53;46;1;2.5;2.5;NA;NA;8.5
2007;105;0.84;NA;NA;28;Cebolama;Alagado;Rosaldo;Jundia;ovo;NA;38A;4;NA;11.5;NA ;super;28
2007;109;0.78;NA;NA;11.2;Cebolama;Alagado;Rosinha;Jundia;ovo;53;46;1;2.5;2.5;NA;NA;11.2
2007;110;1.7;NA;NA;NA;Samambaia;Predado;Rosaldo;Jundia;ovo;NA;38A;4;NA;11.5;NA ;super;NA
2008;111;1.3;2.66;3.96;7.5;Capim-serra;Sucesso;Azulzinho;Jundia;ovo;16;44;7;3.5;3;NA;exp;7.5
2008;114;0.52;2.57;3,086;7.5;Cebolama;Alagado;Acelerado;Jundia;cesto;74;13;10;2.5;3;NA;exp;7.5
2008;115;1.51;2.78;4,293;NA;Samambaia;Tombado;Magenta;Jundia;cesto;51;47;2;11.5;3.5;super;NA;NA
2008;116;1.98;NA;NA;45;Samambaia;Tombado;Rosinha;Jundia;cesto;53;46;1;3.5;3.5;NA;NA;45
2008;120;0.6;2.56;3.163;-;Cebolama;Alagado;Acelerado;Jundia;ovo;74;13;10;2.5;3;NA;exp;-
