ano;territorio;area_territorio;perimetro;razao_perimetro_area;numero_vizinhos;altitude_mediana;area_outros_ambientes;proporcao_mangue;area_mangue;proporcao_cebolama;area_cebolama;proporcao_samambaia;area_samambaia;densidade_samambaia;qualidade_samambaia;proporcao_capimserra;area_capimserra;foquilhas;Casal;femea;macho;idade_femea;idade_macho;mortalidade;filhotes_independentes;produtividade_anual;chuva_acumulada_simepar;chuva_forte_violenta_simepar;dias_chuva_simepar;mare_maxima;temperatura_media_simepar;temperatura_maxima_simepar;temperatura_minima_simepar
2009;primeirinho;8911;374;0.04197;2;2.364;0;0.069299742;617.53;0.853290315;7603.67;0.075490966;672.7;boa;boa;0;0;samambaia;13;135;157;1.5;1.5;0;1;0.5;3298;57;229;2.5;21.606;30.02;14.41
2009;dezinho;11200;422;0.03767;2;2.396;0;0.075808929;849.06;0.810380357;9076.26;0.113810714;1274.68;boa;boa;0.001526786;17.1;ausente;17;163;149;0.5;1.5;0;0;0;3298;57;229;2.5;21.606;30.02;14.41
2009;manguito;15671;508;0.03241;2;2.386;489;0.033932104;531.75;0.934863761;14650.25;0;0;ausente;ausenteouruim;0;0;ausente;4;133;134;1.5;1.5;0;0;0;3298;57;229;2.5;21.606;30.02;14.41
2009;jamaicano;11749;400;0.03404;4;2.454;9118;0.175376628;2060.5;0.046915482;551.21;0.001641842;19.29;ruim;ausenteouruim;0;0;ausente;14;127;125;2;2;0;1;0.5;3298;57;229;2.5;21.606;30.02;14.41
2009;brasileiro;15718;563;0.03581;3;2.476;12983;0.06034101;948.44;0.101689782;1598.36;0.011973534;188.2;ruim;ausenteouruim;0;0;ausente;15;164;126;0.5;2;0;1;0.5;3298;57;229;2.5;21.606;30.02;14.41
2009;salsicha;13395;447;0.03337;3;2.522;10016;0.114930944;1539.5;0.053848451;721.3;0.08347891;1118.2;boa;boa;0;0;ausente;8;142;141;1.5;1.5;0;0;0;3298;57;229;2.5;21.606;30.02;14.41
2009;ypsilone;15942;495;0.03105;2;2.383;4288;0.457909923;7300;0.273115042;4354;0;0;ausente;ausenteouruim;0;0;ausente;7;146;145;1.5;1.5;0;1;0.5;3298;57;229;2.5;21.606;30.02;14.41
2009;derrabado;11978;421;0.03514;1;2.396;1362;0.2276365;2726.63;0.654246953;7836.57;0.004408081;52.8;ruim;ausenteouruim;0;0;cebolama;6;144;143;1.5;1.5;0;0;0;3298;57;229;2.5;21.606;30.02;14.41
2009;hibisquito;8687;377;0.04339;3;2.499;4223;0.261148843;2268.6;0.252722459;2195.4;0;0;ausente;ausenteouruim;0;0;cebolama;16;165;155;1.5;1.5;1;0;0;3298;57;229;2.5;21.606;30.02;14.41
2009;canalito;8911;398;0.04466;2;2.301;1668;0.097678151;870.41;0.715137471;6372.59;0;0;ausente;ausenteouruim;0;0;ausente;5;140;147;1.5;1.5;0;0;0;3298;57;229;2.5;21.606;30.02;14.41
2010;primeirinho;8237;358;0.04346;2;2.364;0;0.105981547;872.97;0.811743353;6686.33;0.080199102;660.6;boa;boa;0;0;samambaia;13;135;157;2.5;2.5;0;1;0.5;3460.8;67;222;2.4;20.909;29.56;13.85
2010;dezinho;9402;373;0.03967;2;2.4;0;0.079702191;749.36;0.784722399;7377.96;0.135575409;1274.68;boa;boa;0.001818762;17.1;ausente;17;163;149;1.5;2.5;0;1;0.5;3460.8;67;222;2.4;20.909;29.56;13.85
2010;manguito;12234;439;0.03588;2;2.389;489;0.018795978;229.95;0.941233448;11515.05;0;0;ausente;ausenteouruim;0;0;ausente;NA;NA;Fi35;NA;1;3;0;0;3460.8;67;222;2.4;20.909;29.56;13.85
2010;jamaicano;11575;404;0.0349;3;2.467;585.1;0.162574514;1881.8;0.785210367;9088.81;0.001666523;19.29;ruim;ausenteouruim;0;0;ausente;14;127;125;3;3;0;4;2;3460.8;67;222;2.4;20.909;29.56;13.85
2010;brasileiro;15670;640;0.04084;3;2.49;10987;0.088987875;1394.44;0.194502872;3047.86;0.015360562;240.7;ruim;ausenteouruim;0;0;ausente;20;186;126;1.5;3;0;0;0;3460.8;67;222;2.4;20.909;29.56;13.85
2010;salsicha;16706;518;0.031;2;2.528;12616;0.121543158;2030.5;0.056345026;941.3;0.066934036;1118.2;boa;boa;0;0;ausente;8;142;141;2.5;2.5;0;1;0.5;3460.8;67;222;2.4;20.909;29.56;13.85
2010;ypsilone;12642;445;0.0352;2;2.383;2075.2;0.542548647;6858.9;0.293300111;3707.9;0;0;ausente;ausenteouruim;0;0;ausente;7;146;145;2.5;2.5;0;0;0;3460.8;67;222;2.4;20.909;29.56;13.85
2010;derrabado;11988;423;0.03528;1;2.372;1082;0.220439606;2642.63;0.684899066;8210.57;0.004404404;52.8;ruim;ausenteouruim;0;0;cebolama;21;164;143;1.5;2.5;1;0;0;3460.8;67;222;2.4;20.909;29.56;13.85
2010;hibisquito;8678;352;0.04056;3;2.499;4899;0.160808942;1395.5;0.27466006;2383.5;0;0;ausente;ausenteouruim;0;0;cebolama;NA;165;NA;2.5;NA;1;2;1;3460.8;67;222;2.4;20.909;29.56;13.85
