ano_simples;ano;territorio;area_territorio;perimetro;razao_perimetro_area;numero_vizinhos;altitude_mediana;area_outros_ambientes;proporcao_cebolama;area_cebolama;densidade_cebolama;proporcao_samambaia;area_samambaia;densidade_samambaia;qualidade_samambaia;proporcao_capimserra;area_capimserra;densidade_capimserra;qualidade_capimserra;arboreas;aboreas_simplificado;foquilhas;Casal;femea;macho;idade_femea;idade_macho;mortalidade;filhotes_independentes;produtividade_anual;chuva_acumulada_simepar;chuva_forte_violenta_simepar;dias_chuva_simepar;mare_maxima;temperatura_media_simepar;temperatura_maxima_simepar;temperatura_minima_simepar;BQI
1;2006;acelerado;7302;427;0.05847;7;2.567;0;0.82299507;6009.51;normal;0.17700493;1292.49;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;10;74;13;0.5;1;0;0;0;2340.6;38;202;2.5;20.61;28.01;14.45;-0.17
2;2007;acelerado;8105;377;0.04651;7;2.579;0;0.730229488;5918.51;normal;0.269770512;2186.49;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;10;74;13;1.5;2;0;1;0.5;2925.8;57;201;2.5;21.19;29.13;13.25;0.33
3;2008;acelerado;7777;380;0.04886;4;2.567;0;0.718337405;5586.51;normal;0.281662595;2190.49;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;10;74;13;2.5;3;0;0;0;2908;44;211;2.5;21.06;28.96;14.13;0
4;2009;acelerado;7784;385;0.04946;3;2.568;0;0.716021326;5573.51;normal;0.283978674;2210.49;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;10;74;13;3.5;4;0;0;0;3298;57;229;2.5;21.606;30.02;14.41;-0.45
5;2010;acelerado;7728;385;0.04981;4;2.568;0;0.701023551;5417.51;normal;0.298976449;2310.49;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;36;74;189;4.5;0.5;1;1;0.5;3460.8;67;222;2.4;20.909;29.56;13.85;0.38
6;2011;acelerado;7918;382;0.04824;4;2.568;0;0.719437989;5696.51;normal;0.280562011;2221.49;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;45;74;193;5.5;0.5;0;1;0.5;2705;32;217;2.4;20.734;28.35;14.16;0.17
7;2012;acelerado;7487;362;0.04835;4;2.577;0;0.645158274;4830.3;normal;0.354841726;2656.7;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;45;74;193;6.5;1.5;0;0;0;2387.3;36;209;2.5;21.004;28.571;13.868;-0.86
8;2013;acelerado;6385;362;0.05669;4;2.576;0;0.586499608;3744.8;normal;0.413500392;2640.2;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;45;74;193;7.5;2.5;0;1;0.5;2035.6;22;205;2.5;21.013;28.93;13.11;0
9;2014;acelerado;7461;397;0.05321;2;2.585;0;0.649886074;4848.8;normal;0.350113926;2612.2;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;65;305;193;1;3.5;1;1;0.5;2296.8;38;218;2.5;21.38;28.85;14.66;0.2
10;2015;acelerado;6656;370;0.05558;5;2.585;0;0.604711538;4024.96;normal;0.395288462;2631.04;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;65;305;193;2;4.5;1;1;0.5;3531.8;68;246;2.5;21.427;31.34;14.93;0
11;2016;acelerado;6656;370;0.05558;5;2.585;0;0.604711538;4024.96;normal;0.395288462;2631.04;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;71;340;193;1;5.5;0;1;0.5;1830;30;240;2.5;20.973;30.2;11.62;0.41
12;2017;acelerado;6429;370;0.05755;5;2.585;0;0.544377042;3499.8;normal;0.455622958;2929.2;boa;boa;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;75;360;193;0.5;6.5;1;1;0.5;2471.8;40;223;2.5;21.215;28.14;14.4;0.44
13;2018;acelerado;5674;360;0.06344;6;2.6;0;0.550193867;3121.8;normal;0.449806133;2552.2;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;75;360;193;1.5;7.5;0;0;0;2315.8;40;217;2.5;21.238;31.87;13.66;-0.58
14;2019;acelerado;5674;360;0.06344;6;2.6;0;0.550193867;3121.8;normal;0.449806133;2552.2;moderada;moderada;0;0;ausente;ausenteouruim;parcialmente_samambaia;samambaia;cebolama;75;360;193;2.5;8.5;0;2;1;3025;44;205;2.4;21.163;28.71;13.45;0.74
